mix.ID,family,genus,species,question.1,question.2,question.3,spp.rich,pollen.grain.proportion,relatedness
mix28,Asteraceae,Ambrosia,Ambrosia artemisiifolia,3,99,99,2,0.94,2
mix28,Asteraceae,Artemisia,Artemisia tridentata,3,99,99,2,0.06,2
mix28,Asteraceae,Artemisia,Artemisia tridentata,3,99,99,2,0.06,2
mix3,Amaranthaceae,Bassia,Bassia scoparia,1,99,99,7,0.07,4
mix3,Amaranthaceae,Bassia,Bassia scoparia,1,99,99,7,0.07,4
mix3,Asteraceae,Artemisia,Artemisia tridentata,1,99,99,7,0.19,4
mix3,Asteraceae,Artemisia,Artemisia tridentata,1,99,99,7,0.19,4
mix3,Juglandaceae,Carya,Carya illinoinensis,1,99,99,7,0.14,4
mix3,Juglandaceae,Carya,Carya illinoinensis,1,99,99,7,0.14,4
mix3,Moraceae,Broussonetia,Broussonetia papyrifera,1,99,99,7,0.24,4
mix3,Moraceae,Broussonetia,Broussonetia papyrifera,1,99,99,7,0.24,4
mix3,Poaceae,Poa,Poa pratensis,1,99,99,7,0.14,4
mix3,Poaceae,Poa,Poa pratensis,1,99,99,7,0.14,4
mix3,Poaceae,Zea,Zea mays,1,99,99,7,0.08,4
mix3,Poaceae,Zea,Zea mays,1,99,99,7,0.08,4
mix3,Salicaceae,Populus,Populus tremuloides,1,99,99,7,0.14,4
mix3,Salicaceae,Populus,Populus tremuloides,1,99,99,7,0.14,4
mix4,Amaranthaceae,Bassia,Bassia scoparia,1,99,99,9,0.03,4
mix4,Amaranthaceae,Bassia,Bassia scoparia,1,99,99,9,0.03,4
mix4,Asteraceae,Ambrosia,Ambrosia artemisiifolia,1,99,99,9,0.13,4
mix4,Asteraceae,Ambrosia,Ambrosia artemisiifolia,1,99,99,9,0.13,4
mix4,Asteraceae,Artemisia,Artemisia tridentata,1,99,99,9,0.23,4
mix4,Asteraceae,Artemisia,Artemisia tridentata,1,99,99,9,0.23,4
mix4,Juglandaceae,Carya,Carya illinoinensis,1,99,99,9,0.07,4
mix4,Juglandaceae,Carya,Carya illinoinensis,1,99,99,9,0.07,4
mix4,Moraceae,Broussonetia,Broussonetia papyrifera,1,99,99,9,0.16,4
mix4,Moraceae,Broussonetia,Broussonetia papyrifera,1,99,99,9,0.16,4
mix4,Poaceae,Poa,Poa pratensis,1,99,99,9,0.08,4
mix4,Poaceae,Poa,Poa pratensis,1,99,99,9,0.08,4
mix4,Poaceae,Zea,Zea mays,1,99,99,9,0.05,4
mix4,Poaceae,Zea,Zea mays,1,99,99,9,0.05,4
mix4,Salicaceae,Populus,Populus deltoides,1,99,99,9,0.18,4
mix4,Salicaceae,Populus,Populus deltoides,1,99,99,9,0.18,4
mix4,Salicaceae,Populus,Populus tremuloides,1,99,99,9,0.18,4
mix4,Salicaceae,Populus,Populus tremuloides,1,99,99,9,0.18,4
mix6,Poaceae,Poa,Poa pratensis,1,99,99,2,0.49,4
mix6,Poaceae,Poa,Poa pratensis,1,99,99,2,0.49,4
mix6,Poaceae,Zea,Zea mays,1,99,99,2,0.51,4
mix6,Poaceae,Zea,Zea mays,1,99,99,2,0.51,4
mix7,Asteraceae,Artemisia,Artemisia tridentata,1,99,99,2,0.59,4
mix7,Asteraceae,Artemisia,Artemisia tridentata,1,99,99,2,0.59,4
mix7,Moraceae,Broussonetia,Broussonetia papyrifera,1,99,99,2,0.41,4
mix7,Moraceae,Broussonetia,Broussonetia papyrifera,1,99,99,2,0.41,4
mix8,Moraceae,Broussonetia,Broussonetia papyrifera,1,99,99,2,0.54,4
mix8,Moraceae,Broussonetia,Broussonetia papyrifera,1,99,99,2,0.54,4
mix8,Poaceae,Poa,Poa pratensis,1,99,99,2,0.46,4
mix8,Poaceae,Poa,Poa pratensis,1,99,99,2,0.46,4
mix9,Moraceae,Broussonetia,Broussonetia papyrifera,2,99,99,2,0.15,1
mix9,Moraceae,Broussonetia,Broussonetia papyrifera,2,99,99,2,0.15,1
mix9,Poaceae,Poa,Poa pratensis,2,99,99,2,0.85,1
mix9,Poaceae,Poa,Poa pratensis,2,99,99,2,0.85,1
P.del,Salicaceae,Populus,Populus deltoides,99,99,99,1,1,0
P.pra,Poaceae,Poa,Poa pratensis,99,99,99,1,1,0
P.tre,Salicaceae,Populus,Populus tremuloides,99,99,99,1,1,0
Z.mays,Poaceae,Zea,Zea mays,99,99,99,1,1,0
