"","mix.ID","sample","family","genus","species","question.1","question.2","question.3","spp.rich","pollen.grain.proportion","relatedness","sample.mix","quant.species.rbcL","qual.species.rbcL","quant.genus.rbcL","qual.genus.rbcL","quant.family.rbcL","qual.family.rbcL","quant.species.ITS","qual.species.ITS","quant.genus.ITS","qual.genus.ITS","quant.family.ITS","qual.family.ITS"
"100","mix18","S62","Juglandaceae","Carya","Carya illinoinensis",3,99,99,2,0.3,4,"mix18_S62",0,0,0,0,0.185906470211403,1,0.0628610261637785,1,0.0122546527000915,1,0.0157975536076858,1
"101","mix18","S61","Asteraceae","Artemisia","Artemisia tridentata",3,99,99,2,0.71,4,"mix18_S61",0,0,0.056663644605621,1,0.815013404825737,1,0,0,0.984979780473715,1,0.981500408830744,1
"102","mix18","S61","Juglandaceae","Carya","Carya illinoinensis",3,99,99,2,0.3,4,"mix18_S61",0,0,0,0,0.18049889264483,1,0.0775831247765463,1,0.0150202195262854,1,0.0184995911692559,1
"103","mix18","S63","Asteraceae","Artemisia","Artemisia tridentata",3,99,99,2,0.71,4,"mix18_S63",0,0,0.0360153256704981,1,0.816681063441789,1,0,0,0.987865221489161,1,0.984610967556704,1
"104","mix18","S63","Juglandaceae","Carya","Carya illinoinensis",3,99,99,2,0.3,4,"mix18_S63",0,0,0,0,0.177176312505999,1,0.0685994283380972,1,0.0121347785108388,1,0.015389032443296,1
"105","mix19","S66","Moraceae","Broussonetia","Broussonetia papyrifera",3,99,99,2,0.65,4,"mix19_S66",0.741154508902929,1,0.739328482209362,1,0.775412664366315,1,0.0215285252960172,1,0.0155844155844156,1,0.0148957298907646,1
"106","mix19","S66","Amaranthaceae","Bassia","Bassia scoparia",3,99,99,2,0.35,4,"mix19_S66",0.258845491097071,1,0.260671517790638,1,0.222535670987597,1,0.978471474703983,1,0.984415584415584,1,0.985104270109235,1
"107","mix19","S64","Moraceae","Broussonetia","Broussonetia papyrifera",3,99,99,2,0.65,4,"mix19_S64",0.656156935602852,1,0.651546391752577,1,0.707738748627881,1,0.0142857142857143,1,0.0106713721536005,1,0.0101389110649848,1
"108","mix19","S64","Amaranthaceae","Bassia","Bassia scoparia",3,99,99,2,0.35,4,"mix19_S64",0.343843064397148,1,0.346608790016278,1,0.288461538461538,1,0.979302587176603,1,0.984539114360138,1,0.985310554047581,1
"109","mix19","S65","Moraceae","Broussonetia","Broussonetia papyrifera",3,99,99,2,0.65,4,"mix19_S65",0.697599863822061,1,0.69493824718085,1,0.7405540417802,1,0.0172579098753595,1,0.012591815320042,1,0.0120805369127517,1
"110","mix19","S65","Amaranthaceae","Bassia","Bassia scoparia",3,99,99,2,0.35,4,"mix19_S65",0.302400136177939,1,0.303789955628409,1,0.256494096276113,1,0.98274209012464,1,0.987408184679958,1,0.987919463087248,1
"111","mix2","S13","Amaranthaceae","Bassia","Bassia scoparia",1,99,99,5,0.09,4,"mix2_S13",0.144301612256851,1,0.143326996771371,1,0.0951111276849642,1,0.369007569386039,1,0.185859710513759,1,0.187948460766916,1
"112","mix2","S13","Moraceae","Broussonetia","Broussonetia papyrifera",1,99,99,5,0.45,4,"mix2_S13",0.411819106630907,1,0.403095863130262,1,0.374944063245823,1,0.00862068965517241,1,0.00326069667567997,1,0.00316333616233315,1
"113","mix2","S13","Poaceae","Poa","Poa pratensis",1,99,99,5,0.17,4,"mix2_S13",0.296248343043867,1,0.295977791859027,1,0.502834128878282,1,0.428090832632464,1,0.266820423095276,1,0.267494792068513,1
